league,games,minutes,pts,offReb,defReb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm,totalSeasons,Position,firstSeason,lastSeason,careerEnded,yrsRetired2004,class
N,221,3628,1133,335,723,1058,145,85,302,185,388,920,420,465,293,9,0,4,F,2001,2004,0,0,0
N,964,35875,14437,744,1827,14464,2575,125,553,0,2624,13105,5521,5089,3395,0,0,14,C,1963,1976,1,28,1
N,7,22,8,8,3,11,0,0,0,2,6,10,3,4,2,0,0,1,F,1988,1988,1,16,0
N,56,939,243,53,80,133,30,26,5,0,126,242,96,71,51,0,0,1,F,1974,1974,1,30,0
N,46,493,272,21,28,49,48,21,0,33,49,227,115,49,42,4,0,2,G,1983,1984,1,20,0
N,82,2686,741,89,375,464,246,138,48,139,204,546,269,210,156,142,47,1,G,2004,2004,0,0,0
N,623,15330,8378,0,0,3410,1134,0,0,0,2158,7382,2949,3083,2480,0,0,10,F,1954,1963,1,41,1
N,965,14712,4666,1268,2723,3991,622,261,285,777,1988,4201,1902,1069,849,48,13,15,C,1985,1999,1,5,0
N,682,16893,5616,504,1539,5575,1060,186,342,0,1775,5152,2336,1550,944,0,0,9,C,1968,1976,1,28,0
N,26,168,79,20,30,50,8,2,8,11,33,58,30,21,10,17,9,1,C,1990,1990,1,14,0
N,219,5461,1999,108,448,556,914,323,30,351,518,1732,729,671,522,127,19,4,G,2001,2004,0,0,0
N,665,15863,7228,1502,2036,3538,857,574,89,1310,2073,5394,2672,2667,1883,26,1,10,F,1979,1988,1,16,0
N,431,7210,2370,206,579,785,500,258,53,348,725,2215,865,385,294,980,346,13,G,1989,2001,1,3,0
N,34,877,360,48,146,194,46,38,11,0,109,348,134,121,92,0,0,8,F,1969,1976,1,28,0
A,2,19,8,0,0,1,2,0,0,0,6,7,2,6,4,0,0,7,F,1961,1967,1,37,0
N,1140,29716,8278,3227,5419,8646,1057,1050,725,1161,2581,6445,3317,2476,1644,25,0,16,C,1984,1999,1,5,0
A,306,6901,2894,0,0,1721,372,0,0,237,811,2423,1116,1043,659,17,3,5,F,1968,1972,1,32,0
N,53,382,157,27,62,89,24,18,8,30,62,146,59,29,22,61,17,1,F,1993,1993,1,11,0
N,267,5520,2415,441,805,1246,209,113,87,337,560,1923,861,851,687,28,6,5,C,2000,2004,0,0,0
N,687,14509,7982,726,1077,1803,956,517,127,1005,1532,7090,3295,1719,1362,143,30,11,G,1982,1992,1,12,0
N,45,440,127,0,0,81,50,0,0,0,79,136,40,69,47,0,0,1,G,1951,1951,1,53,0
N,704,18409,7585,698,1678,2376,1409,728,298,1187,1923,6362,3021,1590,1239,908,304,10,F,1989,1998,1,6,0
N,18,0,50,0,0,0,5,0,0,0,25,69,19,25,12,0,0,1,F,1946,1946,1,58,0
N,176,2742,898,0,0,395,458,0,0,0,320,910,350,305,198,0,0,3,G,1958,1960,1,44,0
N,201,2947,712,60,166,226,411,104,11,205,400,729,317,100,75,25,3,3,G,1980,1982,1,22,0
N,1040,43886,26710,71,208,7804,9887,77,4,0,2931,19620,9508,9185,7694,0,0,14,G,1960,1973,1,31,1
A,1,6,2,0,0,6,1,0,0,1,1,3,1,0,0,0,0,1,F,1967,1967,1,37,0
N,11,139,45,6,5,11,16,6,0,9,19,44,15,16,13,12,2,1,F,1994,1994,1,10,0
N,401,5927,1072,479,764,1243,105,136,687,231,1053,949,423,408,225,10,1,7,C,1994,2000,1,4,0
N,193,2512,980,190,327,517,61,63,126,170,351,896,361,387,258,9,0,4,C,1993,1996,1,8,0
N,58,1050,320,0,0,178,114,0,0,0,98,309,107,137,106,0,0,1,G,1961,1961,1,43,0
N,456,7625,2884,433,863,1296,544,250,137,555,897,2375,1143,893,594,36,4,9,F,1994,2002,1,2,0
N,9,113,22,4,9,13,7,6,1,7,16,41,10,4,2,1,0,3,F,1989,1991,1,13,0
N,7,47,12,0,0,10,6,0,0,0,7,19,5,2,2,0,0,1,G,1954,1954,1,50,0
N,649,14508,6154,370,1087,1457,1300,470,176,587,1228,5106,2562,990,802,634,228,10,F,1987,1996,1,8,0
A,12,66,37,0,0,32,5,0,0,4,9,34,18,1,1,0,0,1,F,1971,1971,1,33,0
N,31,314,77,0,0,77,11,0,0,0,50,94,28,31,21,0,0,7,F,1961,1967,1,37,0
